"kind","scenario","n","effect","kappa_theta","kappa_phi","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,8,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,16,2,"HSIC fixed-grid sensitivity",0.036,500,0.0083311463797007,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,16,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,16,2,"HSIC fixed-grid sensitivity",0.244,500,0.0192074985357282,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,16,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,32,2,"HSIC fixed-grid sensitivity",0.038,500,0.00855055553750749,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,32,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,32,2,"HSIC fixed-grid sensitivity",0.232,500,0.0188772879408034,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,32,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,0.5,4,"HSIC fixed-grid sensitivity",0.028,500,0.00737780455149091,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,0.5,4,"HSIC fixed-grid sensitivity",0.768,500,0.0188772879408034,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,0.5,4,"HSIC fixed-grid sensitivity",0.046,500,0.00936845771725528,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,0.5,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,1,4,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,1,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,1,4,"HSIC fixed-grid sensitivity",0.064,500,0.0109456840809517,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,1,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,2,4,"HSIC fixed-grid sensitivity",0.032,500,0.00787095928079926,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,2,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,2,4,"HSIC fixed-grid sensitivity",0.118,500,0.0144274737913468,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,2,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,4,4,"HSIC fixed-grid sensitivity",0.032,500,0.00787095928079926,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,4,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,4,4,"HSIC fixed-grid sensitivity",0.364,500,0.021517620686312,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,8,4,"HSIC fixed-grid sensitivity",0.034,500,0.00810481338464989,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,8,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,8,4,"HSIC fixed-grid sensitivity",0.63,500,0.0215916650585359,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,8,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,16,4,"HSIC fixed-grid sensitivity",0.042,500,0.00897061870775924,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,16,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,16,4,"HSIC fixed-grid sensitivity",0.69,500,0.0206833266183175,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,16,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,32,4,"HSIC fixed-grid sensitivity",0.038,500,0.00855055553750749,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,32,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,32,4,"HSIC fixed-grid sensitivity",0.658,500,0.0212149004239945,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,32,4,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,0.5,8,"HSIC fixed-grid sensitivity",0.026,500,0.00711674082709213,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,0.5,8,"HSIC fixed-grid sensitivity",0.808,500,0.0176145394489893,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,0.5,8,"HSIC fixed-grid sensitivity",0.06,500,0.0106207344378814,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,0.5,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,1,8,"HSIC fixed-grid sensitivity",0.02,500,0.00626099033699941,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,1,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,1,8,"HSIC fixed-grid sensitivity",0.096,500,0.0131745208641529,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,1,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,2,8,"HSIC fixed-grid sensitivity",0.028,500,0.00737780455149091,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,2,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,2,8,"HSIC fixed-grid sensitivity",0.182,500,0.0172554918793989,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,2,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,4,8,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,4,8,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
