method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
HSIC standardized multi-scale,0.246374455704916,0.574,7,null,N1_uniform_uniform,100,0,20,499,20460806
naive Euclidean-angle HSIC anti-example,0.000551939012413878,0.914,NA,null,N1_uniform_uniform,100,0,20,499,20460806
first-order trigonometric moment diagnostic,0.0141471843741787,0.866,NA,null,N1_uniform_uniform,100,0,20,499,20460806
HSIC fixed,0.250760360196128,0.522,NA,null,N1_uniform_uniform,100,0,21,499,20460816
HSIC median,0.00207389924458855,0.4,NA,null,N1_uniform_uniform,100,0,21,499,20460816
HSIC standardized multi-scale,1.60844903854844,0.116,7,null,N1_uniform_uniform,100,0,21,499,20460816
naive Euclidean-angle HSIC anti-example,0.00100090698947505,0.704,NA,null,N1_uniform_uniform,100,0,21,499,20460816
first-order trigonometric moment diagnostic,0.0444786832042355,0.34,NA,null,N1_uniform_uniform,100,0,21,499,20460816
HSIC fixed,0.192995369783803,0.76,NA,null,N1_uniform_uniform,100,0,22,499,20460826
HSIC median,0.00123933611683869,0.746,NA,null,N1_uniform_uniform,100,0,22,499,20460826
HSIC standardized multi-scale,-0.331378134203366,0.766,6,null,N1_uniform_uniform,100,0,22,499,20460826
naive Euclidean-angle HSIC anti-example,0.000919096064069051,0.74,NA,null,N1_uniform_uniform,100,0,22,499,20460826
first-order trigonometric moment diagnostic,0.0215134846800396,0.7,NA,null,N1_uniform_uniform,100,0,22,499,20460826
HSIC fixed,0.496732261424854,0.016,NA,null,N1_uniform_uniform,100,0,23,499,20460836
HSIC median,0.00556452504271475,0.012,NA,null,N1_uniform_uniform,100,0,23,499,20460836
HSIC standardized multi-scale,2.38507492987419,0.03,7,null,N1_uniform_uniform,100,0,23,499,20460836
naive Euclidean-angle HSIC anti-example,0.00250291541469824,0.226,NA,null,N1_uniform_uniform,100,0,23,499,20460836
first-order trigonometric moment diagnostic,0.121255351076662,0.012,NA,null,N1_uniform_uniform,100,0,23,499,20460836
HSIC fixed,0.369570394573089,0.11,NA,null,N1_uniform_uniform,100,0,24,499,20460846
HSIC median,0.00317644644505229,0.152,NA,null,N1_uniform_uniform,100,0,24,499,20460846
HSIC standardized multi-scale,0.695228833121272,0.334,6,null,N1_uniform_uniform,100,0,24,499,20460846
naive Euclidean-angle HSIC anti-example,0.00154988545809068,0.5,NA,null,N1_uniform_uniform,100,0,24,499,20460846
first-order trigonometric moment diagnostic,0.0491674057605953,0.312,NA,null,N1_uniform_uniform,100,0,24,499,20460846
HSIC fixed,0.547360555849938,0.012,NA,null,N1_uniform_uniform,100,0,25,499,20460856
HSIC median,0.00628568829772269,0.006,NA,null,N1_uniform_uniform,100,0,25,499,20460856
HSIC standardized multi-scale,1.81259915745921,0.096,7,null,N1_uniform_uniform,100,0,25,499,20460856
naive Euclidean-angle HSIC anti-example,0.00413878585289929,0.078,NA,null,N1_uniform_uniform,100,0,25,499,20460856
first-order trigonometric moment diagnostic,0.139868201188583,0.008,NA,null,N1_uniform_uniform,100,0,25,499,20460856
HSIC fixed,0.22420361870474,0.614,NA,null,N1_uniform_uniform,100,0,26,499,20460866
HSIC median,0.00187803604675611,0.446,NA,null,N1_uniform_uniform,100,0,26,499,20460866
HSIC standardized multi-scale,0.252164162426035,0.576,7,null,N1_uniform_uniform,100,0,26,499,20460866
naive Euclidean-angle HSIC anti-example,0.00144370715012636,0.502,NA,null,N1_uniform_uniform,100,0,26,499,20460866
first-order trigonometric moment diagnostic,0.0392424228296317,0.42,NA,null,N1_uniform_uniform,100,0,26,499,20460866
HSIC fixed,0.315294743732013,0.24,NA,null,N1_uniform_uniform,100,0,27,499,20460876
HSIC median,0.00224566072670715,0.334,NA,null,N1_uniform_uniform,100,0,27,499,20460876
HSIC standardized multi-scale,0.898061172449786,0.286,7,null,N1_uniform_uniform,100,0,27,499,20460876
naive Euclidean-angle HSIC anti-example,0.00296748822604756,0.172,NA,null,N1_uniform_uniform,100,0,27,499,20460876
first-order trigonometric moment diagnostic,0.0418775445228517,0.374,NA,null,N1_uniform_uniform,100,0,27,499,20460876
HSIC fixed,0.134217138354593,0.968,NA,null,N1_uniform_uniform,100,0,28,499,20460886
HSIC median,0.000352453628145226,0.994,NA,null,N1_uniform_uniform,100,0,28,499,20460886
HSIC standardized multi-scale,-0.0208172502171512,0.634,6,null,N1_uniform_uniform,100,0,28,499,20460886
naive Euclidean-angle HSIC anti-example,0.000437491369267468,0.942,NA,null,N1_uniform_uniform,100,0,28,499,20460886
first-order trigonometric moment diagnostic,0.002682951581331,0.994,NA,null,N1_uniform_uniform,100,0,28,499,20460886
HSIC fixed,0.219939810233008,0.642,NA,null,N1_uniform_uniform,100,0,29,499,20460896
HSIC median,0.00119448587285917,0.758,NA,null,N1_uniform_uniform,100,0,29,499,20460896
HSIC standardized multi-scale,2.02674876835026,0.066,7,null,N1_uniform_uniform,100,0,29,499,20460896
