method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
first-order trigonometric moment diagnostic,0.0636939008631811,0.182,NA,null,N3_uniform_vonmises,100,0,88,499,20661486
HSIC fixed,0.124924141710088,0.562,NA,null,N3_uniform_vonmises,100,0,89,499,20661496
HSIC median,0.0210890639695544,0.424,NA,null,N3_uniform_vonmises,100,0,89,499,20661496
HSIC standardized multi-scale,-0.0432310359894342,0.638,6,null,N3_uniform_vonmises,100,0,89,499,20661496
naive Euclidean-angle HSIC anti-example,0.00117865851754146,0.704,NA,null,N3_uniform_vonmises,100,0,89,499,20661496
first-order trigonometric moment diagnostic,0.0721066420884861,0.156,NA,null,N3_uniform_vonmises,100,0,89,499,20661496
HSIC fixed,0.118250950422131,0.57,NA,null,N3_uniform_vonmises,100,0,90,499,20661506
HSIC median,0.0240795886765246,0.442,NA,null,N3_uniform_vonmises,100,0,90,499,20661506
HSIC standardized multi-scale,-1.27217280615638,0.97,6,null,N3_uniform_vonmises,100,0,90,499,20661506
naive Euclidean-angle HSIC anti-example,0.00140703073429052,0.63,NA,null,N3_uniform_vonmises,100,0,90,499,20661506
first-order trigonometric moment diagnostic,0.0328416855947568,0.462,NA,null,N3_uniform_vonmises,100,0,90,499,20661506
HSIC fixed,0.0622144030688535,0.964,NA,null,N3_uniform_vonmises,100,0,91,499,20661516
HSIC median,0.0118178665896505,0.95,NA,null,N3_uniform_vonmises,100,0,91,499,20661516
HSIC standardized multi-scale,-0.463506343318527,0.814,6,null,N3_uniform_vonmises,100,0,91,499,20661516
naive Euclidean-angle HSIC anti-example,0.00103882853675804,0.788,NA,null,N3_uniform_vonmises,100,0,91,499,20661516
first-order trigonometric moment diagnostic,0.00308614777961971,0.988,NA,null,N3_uniform_vonmises,100,0,91,499,20661516
HSIC fixed,0.0902720515578941,0.81,NA,null,N3_uniform_vonmises,100,0,92,499,20661526
HSIC median,0.00871487716961299,0.88,NA,null,N3_uniform_vonmises,100,0,92,499,20661526
HSIC standardized multi-scale,-0.149010360338285,0.712,6,null,N3_uniform_vonmises,100,0,92,499,20661526
naive Euclidean-angle HSIC anti-example,0.000978119379742448,0.8,NA,null,N3_uniform_vonmises,100,0,92,499,20661526
first-order trigonometric moment diagnostic,0.00667592299156801,0.956,NA,null,N3_uniform_vonmises,100,0,92,499,20661526
HSIC fixed,0.0997093844225206,0.69,NA,null,N3_uniform_vonmises,100,0,93,499,20661536
HSIC median,0.019646403887651,0.886,NA,null,N3_uniform_vonmises,100,0,93,499,20661536
HSIC standardized multi-scale,0.240407201842452,0.516,6,null,N3_uniform_vonmises,100,0,93,499,20661536
naive Euclidean-angle HSIC anti-example,0.0014086848382126,0.636,NA,null,N3_uniform_vonmises,100,0,93,499,20661536
first-order trigonometric moment diagnostic,0.0153614426678808,0.812,NA,null,N3_uniform_vonmises,100,0,93,499,20661536
HSIC fixed,0.130196711865883,0.472,NA,null,N3_uniform_vonmises,100,0,94,499,20661546
HSIC median,0.0326704858153952,0.444,NA,null,N3_uniform_vonmises,100,0,94,499,20661546
HSIC standardized multi-scale,0.203366205620427,0.496,5,null,N3_uniform_vonmises,100,0,94,499,20661546
naive Euclidean-angle HSIC anti-example,0.0014763722676384,0.596,NA,null,N3_uniform_vonmises,100,0,94,499,20661546
first-order trigonometric moment diagnostic,0.035344004141351,0.442,NA,null,N3_uniform_vonmises,100,0,94,499,20661546
HSIC fixed,0.0812645367496385,0.792,NA,null,N3_uniform_vonmises,100,0,95,499,20661556
HSIC median,0.0321147071329476,0.678,NA,null,N3_uniform_vonmises,100,0,95,499,20661556
HSIC standardized multi-scale,1.08988982138067,0.232,6,null,N3_uniform_vonmises,100,0,95,499,20661556
naive Euclidean-angle HSIC anti-example,0.00089988678921233,0.848,NA,null,N3_uniform_vonmises,100,0,95,499,20661556
first-order trigonometric moment diagnostic,0.0254779479424504,0.566,NA,null,N3_uniform_vonmises,100,0,95,499,20661556
HSIC fixed,0.145855358030388,0.428,NA,null,N3_uniform_vonmises,100,0,96,499,20661566
HSIC median,0.012064612973458,0.632,NA,null,N3_uniform_vonmises,100,0,96,499,20661566
HSIC standardized multi-scale,2.45924855726678,0.026,5,null,N3_uniform_vonmises,100,0,96,499,20661566
naive Euclidean-angle HSIC anti-example,0.0012048476992444,0.708,NA,null,N3_uniform_vonmises,100,0,96,499,20661566
first-order trigonometric moment diagnostic,0.0410203941879859,0.366,NA,null,N3_uniform_vonmises,100,0,96,499,20661566
HSIC fixed,0.0952104744845527,0.524,NA,null,N3_uniform_vonmises,100,0,97,499,20661576
HSIC median,0.0994748730538326,0.378,NA,null,N3_uniform_vonmises,100,0,97,499,20661576
HSIC standardized multi-scale,0.901304622626362,0.286,6,null,N3_uniform_vonmises,100,0,97,499,20661576
naive Euclidean-angle HSIC anti-example,0.00181341930492793,0.486,NA,null,N3_uniform_vonmises,100,0,97,499,20661576
first-order trigonometric moment diagnostic,0.0359072509704812,0.434,NA,null,N3_uniform_vonmises,100,0,97,499,20661576
HSIC fixed,0.114490203523655,0.506,NA,null,N3_uniform_vonmises,100,0,98,499,20661586
HSIC median,0.0552747362356636,0.388,NA,null,N3_uniform_vonmises,100,0,98,499,20661586
HSIC standardized multi-scale,1.61283425355102,0.118,6,null,N3_uniform_vonmises,100,0,98,499,20661586
naive Euclidean-angle HSIC anti-example,0.00230812466820349,0.288,NA,null,N3_uniform_vonmises,100,0,98,499,20661586
first-order trigonometric moment diagnostic,0.0228600015424882,0.628,NA,null,N3_uniform_vonmises,100,0,98,499,20661586
HSIC fixed,0.228943844315355,0.07,NA,null,N3_uniform_vonmises,100,0,99,499,20661596
HSIC median,0.0570838316817496,0.07,NA,null,N3_uniform_vonmises,100,0,99,499,20661596
HSIC standardized multi-scale,1.94312207359937,0.082,6,null,N3_uniform_vonmises,100,0,99,499,20661596
naive Euclidean-angle HSIC anti-example,0.00345393141248486,0.124,NA,null,N3_uniform_vonmises,100,0,99,499,20661596
first-order trigonometric moment diagnostic,0.0772793324842669,0.114,NA,null,N3_uniform_vonmises,100,0,99,499,20661596
HSIC fixed,0.148669401322294,0.33,NA,null,N3_uniform_vonmises,100,0,100,499,20661606
HSIC median,0.0144881007612005,0.828,NA,null,N3_uniform_vonmises,100,0,100,499,20661606
HSIC standardized multi-scale,1.90425776397083,0.076,6,null,N3_uniform_vonmises,100,0,100,499,20661606
naive Euclidean-angle HSIC anti-example,0.000765005107108258,0.912,NA,null,N3_uniform_vonmises,100,0,100,499,20661606
first-order trigonometric moment diagnostic,0.00252923206010368,0.998,NA,null,N3_uniform_vonmises,100,0,100,499,20661606
HSIC fixed,0.135658671298673,0.384,NA,null,N3_uniform_vonmises,100,0,101,499,20661616
HSIC median,0.0483226134350201,0.252,NA,null,N3_uniform_vonmises,100,0,101,499,20661616
HSIC standardized multi-scale,-0.327653084180274,0.75,6,null,N3_uniform_vonmises,100,0,101,499,20661616
naive Euclidean-angle HSIC anti-example,0.00219486245166726,0.334,NA,null,N3_uniform_vonmises,100,0,101,499,20661616
first-order trigonometric moment diagnostic,0.042130891963177,0.376,NA,null,N3_uniform_vonmises,100,0,101,499,20661616
HSIC fixed,0.218620218507252,0.124,NA,null,N3_uniform_vonmises,100,0,102,499,20661626
HSIC median,0.0355252309762164,0.088,NA,null,N3_uniform_vonmises,100,0,102,499,20661626
HSIC standardized multi-scale,0.426744484807752,0.466,6,null,N3_uniform_vonmises,100,0,102,499,20661626
naive Euclidean-angle HSIC anti-example,0.00484962129986708,0.022,NA,null,N3_uniform_vonmises,100,0,102,499,20661626
first-order trigonometric moment diagnostic,0.0440488064225616,0.32,NA,null,N3_uniform_vonmises,100,0,102,499,20661626
HSIC fixed,0.115913313561447,0.554,NA,null,N3_uniform_vonmises,100,0,103,499,20661636
HSIC median,0.0245393818991509,0.494,NA,null,N3_uniform_vonmises,100,0,103,499,20661636
HSIC standardized multi-scale,0.495106701156573,0.43,6,null,N3_uniform_vonmises,100,0,103,499,20661636
naive Euclidean-angle HSIC anti-example,0.00231869582920267,0.28,NA,null,N3_uniform_vonmises,100,0,103,499,20661636
first-order trigonometric moment diagnostic,0.052827901737896,0.274,NA,null,N3_uniform_vonmises,100,0,103,499,20661636
HSIC fixed,0.104006158720769,0.524,NA,null,N3_uniform_vonmises,100,0,104,499,20661646
HSIC median,0.0853923325008142,0.454,NA,null,N3_uniform_vonmises,100,0,104,499,20661646
HSIC standardized multi-scale,0.297569983604068,0.516,6,null,N3_uniform_vonmises,100,0,104,499,20661646
naive Euclidean-angle HSIC anti-example,0.00155865859252768,0.486,NA,null,N3_uniform_vonmises,100,0,104,499,20661646
first-order trigonometric moment diagnostic,0.0191926593746087,0.748,NA,null,N3_uniform_vonmises,100,0,104,499,20661646
HSIC fixed,0.194813665739222,0.214,NA,null,N3_uniform_vonmises,100,0,105,499,20661656
HSIC median,0.0302650896188533,0.176,NA,null,N3_uniform_vonmises,100,0,105,499,20661656
HSIC standardized multi-scale,-0.228786975451071,0.7,5,null,N3_uniform_vonmises,100,0,105,499,20661656
naive Euclidean-angle HSIC anti-example,0.00343833038448611,0.088,NA,null,N3_uniform_vonmises,100,0,105,499,20661656
first-order trigonometric moment diagnostic,0.0971956904976726,0.058,NA,null,N3_uniform_vonmises,100,0,105,499,20661656
HSIC fixed,0.129746599508002,0.546,NA,null,N3_uniform_vonmises,100,0,106,499,20661666
HSIC median,0.0180478866215954,0.494,NA,null,N3_uniform_vonmises,100,0,106,499,20661666
HSIC standardized multi-scale,-0.304385889376335,0.7,5,null,N3_uniform_vonmises,100,0,106,499,20661666
naive Euclidean-angle HSIC anti-example,0.0012007219284105,0.714,NA,null,N3_uniform_vonmises,100,0,106,499,20661666
first-order trigonometric moment diagnostic,0.029286664323764,0.572,NA,null,N3_uniform_vonmises,100,0,106,499,20661666
HSIC fixed,0.0566702895805494,0.916,NA,null,N3_uniform_vonmises,100,0,107,499,20661676
HSIC median,0.0246332712513992,0.888,NA,null,N3_uniform_vonmises,100,0,107,499,20661676
HSIC standardized multi-scale,-0.522487966981893,0.788,5,null,N3_uniform_vonmises,100,0,107,499,20661676
naive Euclidean-angle HSIC anti-example,0.00127881531475964,0.622,NA,null,N3_uniform_vonmises,100,0,107,499,20661676
first-order trigonometric moment diagnostic,0.0350347474203449,0.438,NA,null,N3_uniform_vonmises,100,0,107,499,20661676
HSIC fixed,0.060579952928193,0.96,NA,null,N3_uniform_vonmises,100,0,108,499,20661686
HSIC median,0.00676686262199806,0.984,NA,null,N3_uniform_vonmises,100,0,108,499,20661686
HSIC standardized multi-scale,-0.671785850874931,0.868,6,null,N3_uniform_vonmises,100,0,108,499,20661686
naive Euclidean-angle HSIC anti-example,0.000625423918127203,0.966,NA,null,N3_uniform_vonmises,100,0,108,499,20661686
first-order trigonometric moment diagnostic,0.00266900861744325,0.99,NA,null,N3_uniform_vonmises,100,0,108,499,20661686
HSIC fixed,0.137172840694126,0.298,NA,null,N3_uniform_vonmises,100,0,109,499,20661696
HSIC median,0.0757316204017675,0.224,NA,null,N3_uniform_vonmises,100,0,109,499,20661696
HSIC standardized multi-scale,0.671697537745594,0.384,6,null,N3_uniform_vonmises,100,0,109,499,20661696
naive Euclidean-angle HSIC anti-example,0.00163745958650166,0.51,NA,null,N3_uniform_vonmises,100,0,109,499,20661696
first-order trigonometric moment diagnostic,0.0513032464120648,0.274,NA,null,N3_uniform_vonmises,100,0,109,499,20661696
HSIC fixed,0.0954037999347122,0.84,NA,null,N3_uniform_vonmises,100,0,110,499,20661706
HSIC median,0.00845836168672681,0.794,NA,null,N3_uniform_vonmises,100,0,110,499,20661706
HSIC standardized multi-scale,0.223651141920901,0.54,6,null,N3_uniform_vonmises,100,0,110,499,20661706
naive Euclidean-angle HSIC anti-example,0.00124223983300097,0.724,NA,null,N3_uniform_vonmises,100,0,110,499,20661706
first-order trigonometric moment diagnostic,0.0333668724584275,0.482,NA,null,N3_uniform_vonmises,100,0,110,499,20661706
HSIC fixed,0.0488909827824811,0.992,NA,null,N3_uniform_vonmises,100,0,111,499,20661716
HSIC median,0.0122069137656445,0.902,NA,null,N3_uniform_vonmises,100,0,111,499,20661716
HSIC standardized multi-scale,-1.40084639065997,0.97,6,null,N3_uniform_vonmises,100,0,111,499,20661716
naive Euclidean-angle HSIC anti-example,0.00100864035387111,0.812,NA,null,N3_uniform_vonmises,100,0,111,499,20661716
first-order trigonometric moment diagnostic,0.00983812064015887,0.894,NA,null,N3_uniform_vonmises,100,0,111,499,20661716
HSIC fixed,0.216690367214576,0.096,NA,null,N3_uniform_vonmises,100,0,112,499,20661726
HSIC median,0.0488188040186393,0.116,NA,null,N3_uniform_vonmises,100,0,112,499,20661726
HSIC standardized multi-scale,0.89655184379613,0.282,6,null,N3_uniform_vonmises,100,0,112,499,20661726
naive Euclidean-angle HSIC anti-example,0.0035980780314485,0.068,NA,null,N3_uniform_vonmises,100,0,112,499,20661726
first-order trigonometric moment diagnostic,0.0933374591806824,0.084,NA,null,N3_uniform_vonmises,100,0,112,499,20661726
HSIC fixed,0.222729100273755,0.13,NA,null,N3_uniform_vonmises,100,0,113,499,20661736
HSIC median,0.0208975710647284,0.334,NA,null,N3_uniform_vonmises,100,0,113,499,20661736
HSIC standardized multi-scale,1.76045684406907,0.098,6,null,N3_uniform_vonmises,100,0,113,499,20661736
naive Euclidean-angle HSIC anti-example,0.00303439377023101,0.134,NA,null,N3_uniform_vonmises,100,0,113,499,20661736
first-order trigonometric moment diagnostic,0.0364285934386945,0.45,NA,null,N3_uniform_vonmises,100,0,113,499,20661736
HSIC fixed,0.125172229363019,0.47,NA,null,N3_uniform_vonmises,100,0,114,499,20661746
HSIC median,0.0291715978381602,0.584,NA,null,N3_uniform_vonmises,100,0,114,499,20661746
HSIC standardized multi-scale,1.07417870084822,0.21,5,null,N3_uniform_vonmises,100,0,114,499,20661746
naive Euclidean-angle HSIC anti-example,0.000871887931092641,0.854,NA,null,N3_uniform_vonmises,100,0,114,499,20661746
first-order trigonometric moment diagnostic,0.0200501976114138,0.658,NA,null,N3_uniform_vonmises,100,0,114,499,20661746
HSIC fixed,0.0816081081166654,0.864,NA,null,N3_uniform_vonmises,100,0,115,499,20661756
HSIC median,0.0130379855121723,0.794,NA,null,N3_uniform_vonmises,100,0,115,499,20661756
HSIC standardized multi-scale,-0.501786021641416,0.808,6,null,N3_uniform_vonmises,100,0,115,499,20661756
naive Euclidean-angle HSIC anti-example,0.00173738004012386,0.5,NA,null,N3_uniform_vonmises,100,0,115,499,20661756
first-order trigonometric moment diagnostic,0.0168269075071964,0.766,NA,null,N3_uniform_vonmises,100,0,115,499,20661756
HSIC fixed,0.0677665663414847,0.954,NA,null,N3_uniform_vonmises,100,0,116,499,20661766
HSIC median,0.00609647017755578,0.978,NA,null,N3_uniform_vonmises,100,0,116,499,20661766
HSIC standardized multi-scale,-0.035326072346753,0.626,5,null,N3_uniform_vonmises,100,0,116,499,20661766
naive Euclidean-angle HSIC anti-example,0.000714348503984206,0.938,NA,null,N3_uniform_vonmises,100,0,116,499,20661766
first-order trigonometric moment diagnostic,0.00939870750103565,0.918,NA,null,N3_uniform_vonmises,100,0,116,499,20661766
HSIC fixed,0.200910353864622,0.216,NA,null,N3_uniform_vonmises,100,0,117,499,20661776
HSIC median,0.0168110905120514,0.284,NA,null,N3_uniform_vonmises,100,0,117,499,20661776
HSIC standardized multi-scale,0.952097214701999,0.252,5,null,N3_uniform_vonmises,100,0,117,499,20661776
naive Euclidean-angle HSIC anti-example,0.00403338289711432,0.064,NA,null,N3_uniform_vonmises,100,0,117,499,20661776
first-order trigonometric moment diagnostic,0.0636708054838826,0.196,NA,null,N3_uniform_vonmises,100,0,117,499,20661776
HSIC fixed,0.156783379659162,0.246,NA,null,N3_uniform_vonmises,100,0,118,499,20661786
HSIC median,0.0797694233873081,0.136,NA,null,N3_uniform_vonmises,100,0,118,499,20661786
HSIC standardized multi-scale,1.09145742904341,0.194,5,null,N3_uniform_vonmises,100,0,118,499,20661786
naive Euclidean-angle HSIC anti-example,0.00609833186686508,0.022,NA,null,N3_uniform_vonmises,100,0,118,499,20661786
first-order trigonometric moment diagnostic,0.0737218684335735,0.134,NA,null,N3_uniform_vonmises,100,0,118,499,20661786
HSIC fixed,0.122545338066007,0.484,NA,null,N3_uniform_vonmises,100,0,119,499,20661796
HSIC median,0.0235488195499979,0.738,NA,null,N3_uniform_vonmises,100,0,119,499,20661796
HSIC standardized multi-scale,0.542003893326177,0.408,6,null,N3_uniform_vonmises,100,0,119,499,20661796
naive Euclidean-angle HSIC anti-example,0.000908505145921587,0.844,NA,null,N3_uniform_vonmises,100,0,119,499,20661796
first-order trigonometric moment diagnostic,0.0292415657657678,0.568,NA,null,N3_uniform_vonmises,100,0,119,499,20661796
HSIC fixed,0.0760368723306158,0.878,NA,null,N3_uniform_vonmises,100,0,120,499,20661806
HSIC median,0.0224338780306645,0.712,NA,null,N3_uniform_vonmises,100,0,120,499,20661806
HSIC standardized multi-scale,-1.1999552572536,0.946,5,null,N3_uniform_vonmises,100,0,120,499,20661806
naive Euclidean-angle HSIC anti-example,0.00153718323484337,0.522,NA,null,N3_uniform_vonmises,100,0,120,499,20661806
first-order trigonometric moment diagnostic,0.0626747312053219,0.204,NA,null,N3_uniform_vonmises,100,0,120,499,20661806
HSIC fixed,0.116128079176534,0.628,NA,null,N3_uniform_vonmises,100,0,121,499,20661816
HSIC median,0.0193072074060087,0.484,NA,null,N3_uniform_vonmises,100,0,121,499,20661816
HSIC standardized multi-scale,-0.74681019261226,0.902,6,null,N3_uniform_vonmises,100,0,121,499,20661816
naive Euclidean-angle HSIC anti-example,0.00169239871559083,0.468,NA,null,N3_uniform_vonmises,100,0,121,499,20661816
first-order trigonometric moment diagnostic,0.0536859030086892,0.262,NA,null,N3_uniform_vonmises,100,0,121,499,20661816
HSIC fixed,0.0944600618419639,0.744,NA,null,N3_uniform_vonmises,100,0,122,499,20661826
HSIC median,0.0111829799090722,0.886,NA,null,N3_uniform_vonmises,100,0,122,499,20661826
HSIC standardized multi-scale,0.486952659043631,0.438,6,null,N3_uniform_vonmises,100,0,122,499,20661826
naive Euclidean-angle HSIC anti-example,0.000792437962640677,0.906,NA,null,N3_uniform_vonmises,100,0,122,499,20661826
first-order trigonometric moment diagnostic,0.0220052786772902,0.662,NA,null,N3_uniform_vonmises,100,0,122,499,20661826
HSIC fixed,0.0807332130425854,0.762,NA,null,N3_uniform_vonmises,100,0,123,499,20661836
HSIC median,0.0510674093121233,0.708,NA,null,N3_uniform_vonmises,100,0,123,499,20661836
HSIC standardized multi-scale,-0.622576713178394,0.86,6,null,N3_uniform_vonmises,100,0,123,499,20661836
naive Euclidean-angle HSIC anti-example,0.0010007392739799,0.866,NA,null,N3_uniform_vonmises,100,0,123,499,20661836
first-order trigonometric moment diagnostic,0.0538017915086244,0.276,NA,null,N3_uniform_vonmises,100,0,123,499,20661836
HSIC fixed,0.213095596390597,0.166,NA,null,N3_uniform_vonmises,100,0,124,499,20661846
HSIC median,0.022423145588932,0.16,NA,null,N3_uniform_vonmises,100,0,124,499,20661846
HSIC standardized multi-scale,0.889233620719122,0.266,6,null,N3_uniform_vonmises,100,0,124,499,20661846
naive Euclidean-angle HSIC anti-example,0.00205267510145474,0.402,NA,null,N3_uniform_vonmises,100,0,124,499,20661846
first-order trigonometric moment diagnostic,0.0802149029851708,0.11,NA,null,N3_uniform_vonmises,100,0,124,499,20661846
HSIC fixed,0.0795846584172231,0.886,NA,null,N3_uniform_vonmises,100,0,125,499,20661856
HSIC median,0.00862342622644949,0.83,NA,null,N3_uniform_vonmises,100,0,125,499,20661856
HSIC standardized multi-scale,3.03518466323356,0.016,6,null,N3_uniform_vonmises,100,0,125,499,20661856
naive Euclidean-angle HSIC anti-example,0.00166941837969025,0.51,NA,null,N3_uniform_vonmises,100,0,125,499,20661856
first-order trigonometric moment diagnostic,0.00647025701485343,0.948,NA,null,N3_uniform_vonmises,100,0,125,499,20661856
HSIC fixed,0.0958679163150687,0.702,NA,null,N3_uniform_vonmises,100,0,126,499,20661866
HSIC median,0.0333611042403615,0.666,NA,null,N3_uniform_vonmises,100,0,126,499,20661866
HSIC standardized multi-scale,-1.02500945701972,0.948,6,null,N3_uniform_vonmises,100,0,126,499,20661866
naive Euclidean-angle HSIC anti-example,0.00200799586806412,0.392,NA,null,N3_uniform_vonmises,100,0,126,499,20661866
first-order trigonometric moment diagnostic,0.0280143832804268,0.602,NA,null,N3_uniform_vonmises,100,0,126,499,20661866
HSIC fixed,0.131355697839678,0.488,NA,null,N3_uniform_vonmises,100,0,127,499,20661876
HSIC median,0.0228363236494327,0.442,NA,null,N3_uniform_vonmises,100,0,127,499,20661876
HSIC standardized multi-scale,0.870340850641766,0.276,6,null,N3_uniform_vonmises,100,0,127,499,20661876
naive Euclidean-angle HSIC anti-example,0.00235688785088533,0.246,NA,null,N3_uniform_vonmises,100,0,127,499,20661876
first-order trigonometric moment diagnostic,0.0471511703477794,0.348,NA,null,N3_uniform_vonmises,100,0,127,499,20661876
HSIC fixed,0.115786597074169,0.63,NA,null,N3_uniform_vonmises,100,0,128,499,20661886
HSIC median,0.0285439928571024,0.362,NA,null,N3_uniform_vonmises,100,0,128,499,20661886
HSIC standardized multi-scale,1.19772472506055,0.18,5,null,N3_uniform_vonmises,100,0,128,499,20661886
naive Euclidean-angle HSIC anti-example,0.00214366049995584,0.334,NA,null,N3_uniform_vonmises,100,0,128,499,20661886
first-order trigonometric moment diagnostic,0.0417854271067816,0.366,NA,null,N3_uniform_vonmises,100,0,128,499,20661886
HSIC fixed,0.115702693527553,0.53,NA,null,N3_uniform_vonmises,100,0,129,499,20661896
HSIC median,0.0306106751746817,0.652,NA,null,N3_uniform_vonmises,100,0,129,499,20661896
HSIC standardized multi-scale,-0.45889290378601,0.802,6,null,N3_uniform_vonmises,100,0,129,499,20661896
naive Euclidean-angle HSIC anti-example,0.0011852844234686,0.774,NA,null,N3_uniform_vonmises,100,0,129,499,20661896
first-order trigonometric moment diagnostic,0.0670768964514328,0.158,NA,null,N3_uniform_vonmises,100,0,129,499,20661896
HSIC fixed,0.066155986346366,0.932,NA,null,N3_uniform_vonmises,100,0,130,499,20661906
HSIC median,0.00615955587440789,0.968,NA,null,N3_uniform_vonmises,100,0,130,499,20661906
HSIC standardized multi-scale,-0.651441421088773,0.842,6,null,N3_uniform_vonmises,100,0,130,499,20661906
naive Euclidean-angle HSIC anti-example,0.000860105870724987,0.864,NA,null,N3_uniform_vonmises,100,0,130,499,20661906
first-order trigonometric moment diagnostic,0.0204091419526574,0.676,NA,null,N3_uniform_vonmises,100,0,130,499,20661906
HSIC fixed,0.129439091956328,0.442,NA,null,N3_uniform_vonmises,100,0,131,499,20661916
HSIC median,0.0390764247995092,0.392,NA,null,N3_uniform_vonmises,100,0,131,499,20661916
HSIC standardized multi-scale,0.631221039872938,0.366,6,null,N3_uniform_vonmises,100,0,131,499,20661916
naive Euclidean-angle HSIC anti-example,0.00167951913050734,0.484,NA,null,N3_uniform_vonmises,100,0,131,499,20661916
first-order trigonometric moment diagnostic,0.077650433758801,0.122,NA,null,N3_uniform_vonmises,100,0,131,499,20661916
HSIC fixed,0.0405345414382951,0.994,NA,null,N3_uniform_vonmises,100,0,132,499,20661926
HSIC median,0.0230942142432988,0.93,NA,null,N3_uniform_vonmises,100,0,132,499,20661926
HSIC standardized multi-scale,1.06041017658559,0.238,6,null,N3_uniform_vonmises,100,0,132,499,20661926
naive Euclidean-angle HSIC anti-example,0.0014517879113549,0.6,NA,null,N3_uniform_vonmises,100,0,132,499,20661926
first-order trigonometric moment diagnostic,0.00117295035155098,1,NA,null,N3_uniform_vonmises,100,0,132,499,20661926
HSIC fixed,0.20405637246796,0.148,NA,null,N3_uniform_vonmises,100,0,133,499,20661936
HSIC median,0.0230160345945065,0.458,NA,null,N3_uniform_vonmises,100,0,133,499,20661936
HSIC standardized multi-scale,0.840810949318393,0.316,6,null,N3_uniform_vonmises,100,0,133,499,20661936
naive Euclidean-angle HSIC anti-example,0.00303605448081553,0.158,NA,null,N3_uniform_vonmises,100,0,133,499,20661936
first-order trigonometric moment diagnostic,0.0144526785690922,0.81,NA,null,N3_uniform_vonmises,100,0,133,499,20661936
HSIC fixed,0.0689951203861576,0.942,NA,null,N3_uniform_vonmises,100,0,134,499,20661946
HSIC median,0.0214806052922636,0.866,NA,null,N3_uniform_vonmises,100,0,134,499,20661946
HSIC standardized multi-scale,0.277478093108431,0.508,6,null,N3_uniform_vonmises,100,0,134,499,20661946
naive Euclidean-angle HSIC anti-example,0.000838535209455102,0.91,NA,null,N3_uniform_vonmises,100,0,134,499,20661946
first-order trigonometric moment diagnostic,0.0240901711124192,0.614,NA,null,N3_uniform_vonmises,100,0,134,499,20661946
HSIC fixed,0.113181224828325,0.64,NA,null,N3_uniform_vonmises,100,0,135,499,20661956
HSIC median,0.019975656372968,0.462,NA,null,N3_uniform_vonmises,100,0,135,499,20661956
HSIC standardized multi-scale,-0.258746696811689,0.7,5,null,N3_uniform_vonmises,100,0,135,499,20661956
naive Euclidean-angle HSIC anti-example,0.00275220224736434,0.176,NA,null,N3_uniform_vonmises,100,0,135,499,20661956
first-order trigonometric moment diagnostic,0.0264113837541379,0.642,NA,null,N3_uniform_vonmises,100,0,135,499,20661956
HSIC fixed,0.119552309099865,0.606,NA,null,N3_uniform_vonmises,100,0,136,499,20661966
HSIC median,0.0163555405135422,0.646,NA,null,N3_uniform_vonmises,100,0,136,499,20661966
HSIC standardized multi-scale,-0.426517682585136,0.794,6,null,N3_uniform_vonmises,100,0,136,499,20661966
naive Euclidean-angle HSIC anti-example,0.00129262382442109,0.658,NA,null,N3_uniform_vonmises,100,0,136,499,20661966
first-order trigonometric moment diagnostic,0.026235376803731,0.66,NA,null,N3_uniform_vonmises,100,0,136,499,20661966
HSIC fixed,0.100220387012818,0.698,NA,null,N3_uniform_vonmises,100,0,137,499,20661976
HSIC median,0.0232664310781835,0.6,NA,null,N3_uniform_vonmises,100,0,137,499,20661976
HSIC standardized multi-scale,-0.268959061550821,0.688,5,null,N3_uniform_vonmises,100,0,137,499,20661976
naive Euclidean-angle HSIC anti-example,0.00229860949914196,0.308,NA,null,N3_uniform_vonmises,100,0,137,499,20661976
first-order trigonometric moment diagnostic,0.0196319880460605,0.736,NA,null,N3_uniform_vonmises,100,0,137,499,20661976
HSIC fixed,0.0628409654034676,0.924,NA,null,N3_uniform_vonmises,100,0,138,499,20661986
HSIC median,0.0187917676558228,0.95,NA,null,N3_uniform_vonmises,100,0,138,499,20661986
HSIC standardized multi-scale,-0.301840501093032,0.744,6,null,N3_uniform_vonmises,100,0,138,499,20661986
naive Euclidean-angle HSIC anti-example,0.000615028330411318,0.944,NA,null,N3_uniform_vonmises,100,0,138,499,20661986
first-order trigonometric moment diagnostic,0.0123015455128413,0.876,NA,null,N3_uniform_vonmises,100,0,138,499,20661986
HSIC fixed,0.119638190501498,0.6,NA,null,N3_uniform_vonmises,100,0,139,499,20661996
HSIC median,0.0175440324330227,0.832,NA,null,N3_uniform_vonmises,100,0,139,499,20661996
HSIC standardized multi-scale,-0.035772429967056,0.66,6,null,N3_uniform_vonmises,100,0,139,499,20661996
naive Euclidean-angle HSIC anti-example,0.00073248329511119,0.946,NA,null,N3_uniform_vonmises,100,0,139,499,20661996
first-order trigonometric moment diagnostic,0.0150473989273631,0.808,NA,null,N3_uniform_vonmises,100,0,139,499,20661996
HSIC fixed,0.112487395450137,0.39,NA,null,N3_uniform_vonmises,100,0,140,499,20662006
HSIC median,0.0822755799671827,0.65,NA,null,N3_uniform_vonmises,100,0,140,499,20662006
HSIC standardized multi-scale,1.01637257370008,0.264,6,null,N3_uniform_vonmises,100,0,140,499,20662006
