"kind","scenario","n","effect","method","statistic","p.value","repetition","B","seed","reject"
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",44.6365608518247,0.00333333333333333,18,299,28560624,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.0684048009124,0.52,18,299,28560624,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",34.0803757629465,0.00333333333333333,18,299,28660624,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.0809661038719,0.833333333333333,19,299,28460625,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",47.114345035255,0.00333333333333333,19,299,28560625,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.837857060925,0.153333333333333,19,299,28560625,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",33.229092634704,0.00333333333333333,19,299,28660625,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",24.3446255371568,0.313333333333333,20,299,28460626,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",45.9781974048445,0.00333333333333333,20,299,28560626,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.091783749952,0.533333333333333,20,299,28560626,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",32.0067283960006,0.00333333333333333,20,299,28660626,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.5781377340962,0.706666666666667,21,299,28460627,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",46.7930348632072,0.00333333333333333,21,299,28560627,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.5355605888548,0.296666666666667,21,299,28560627,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",34.0397616840161,0.00333333333333333,21,299,28660627,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",25.3712376586043,0.21,22,299,28460628,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",44.2626134616938,0.00333333333333333,22,299,28560628,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.32128508302,0.34,22,299,28560628,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",32.9297481442186,0.00333333333333333,22,299,28660628,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.2707330587386,0.69,23,299,28460629,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",46.7638494601471,0.00333333333333333,23,299,28560629,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.5091568520704,0.83,23,299,28560629,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",30.8030683337472,0.00333333333333333,23,299,28660629,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.2769737565405,0.69,24,299,28460630,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",43.9894330839078,0.00333333333333333,24,299,28560630,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.8401155584884,0.673333333333333,24,299,28560630,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",33.0772088927839,0.00333333333333333,24,299,28660630,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.8067304074234,0.593333333333333,25,299,28460631,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",44.9131050661599,0.00333333333333333,25,299,28560631,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.4794860236686,0.79,25,299,28560631,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",32.8753743181156,0.00333333333333333,25,299,28660631,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",25.2277827365697,0.26,26,299,28460632,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",45.4351986541197,0.00333333333333333,26,299,28560632,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",10.9167609070215,0.946666666666667,26,299,28560632,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",31.8644092502144,0.00333333333333333,26,299,28660632,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.5245904816808,0.64,27,299,28460633,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",44.8101705110328,0.00333333333333333,27,299,28560633,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.0971907039644,0.946666666666667,27,299,28560633,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",32.3653087903051,0.00333333333333333,27,299,28660633,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.9382183377634,0.606666666666667,28,299,28460634,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",47.75174088478,0.00333333333333333,28,299,28560634,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.24775704242,0.943333333333333,28,299,28560634,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",31.3960612380633,0.00333333333333333,28,299,28660634,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",22.9389887694174,0.763333333333333,29,299,28460635,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",48.1979956279871,0.00333333333333333,29,299,28560635,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.4807043311146,0.296666666666667,29,299,28560635,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",33.3549086509054,0.00333333333333333,29,299,28660635,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",24.2851345244108,0.506666666666667,30,299,28460636,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",40.0704227661075,0.00333333333333333,30,299,28560636,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.9438114366009,0.576666666666667,30,299,28560636,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",33.8615573996006,0.00333333333333333,30,299,28660636,TRUE
